Importance,Feature
12.71,Ddimer Conc (ug/mL) (Biomedical)
10.4,Partial Thromboplastin Time (s)
9.64,Fibrinogen (mg/mL) (Biomedical)
5.91,Prothrombin Time(s)
5.41,Max Stiffness (Pa)
5.19,Injury Severity Score
5.08,Polym Rate (Pa/s)
4.51,tPA Conc (ng/mL)
4.44,Abbreviated Injury Scale Head
4.09,Revised Trauma Score
4.05,Glasgow Coma Score
3.88,Velocity Index
3.62,Temperature (°C)
3.59,Confocal Pore Diameter (μm)
3.56,Confocal Area (%)
3.38,Diastolic BP (mmHg)
2.86,Turbidity T to Half Max (s)
2.82,Systolic BP (mmHg)
2.67,inr
2.17,Lactate (mmol/L)
